x,skin_friction_coeff,displacement_thickness,momentum_thickness
0.000000e+00,9.607945e-02,2.280001e-04,0.000000e+00
1.010101e-02,5.113637e-02,5.847351e-04,2.630306e-04
2.020202e-02,2.837809e-02,9.254575e-04,4.246008e-04
3.030303e-02,1.826952e-02,1.210758e-03,5.353699e-04
4.040404e-02,1.387227e-02,1.441822e-03,6.201612e-04
5.050505e-02,1.163639e-02,1.635108e-03,6.904635e-04
6.060606e-02,1.026074e-02,1.803153e-03,7.516526e-04
7.070707e-02,9.302613e-03,1.953300e-03,8.065156e-04
8.080808e-02,8.584168e-03,2.090036e-03,8.566810e-04
9.090909e-02,8.018717e-03,2.216302e-03,9.031890e-04
1.010101e-01,7.558068e-03,2.334134e-03,9.467483e-04
1.111111e-01,7.172975e-03,2.445000e-03,9.878662e-04
1.212121e-01,6.844514e-03,2.549995e-03,1.026920e-03
1.313131e-01,6.559825e-03,2.649958e-03,1.064197e-03
1.414141e-01,6.309819e-03,2.745548e-03,1.099927e-03
1.515152e-01,6.087861e-03,2.837296e-03,1.134290e-03
1.616162e-01,5.888980e-03,2.925631e-03,1.167436e-03
1.717172e-01,5.709366e-03,3.010911e-03,1.199488e-03
1.818182e-01,5.546040e-03,3.093434e-03,1.230551e-03
1.919192e-01,5.396636e-03,3.173454e-03,1.260713e-03
2.020202e-01,5.259248e-03,3.251187e-03,1.290049e-03
2.121212e-01,5.132318e-03,3.326822e-03,1.318625e-03
2.222222e-01,5.014560e-03,3.400521e-03,1.346499e-03
2.323232e-01,4.904900e-03,3.472427e-03,1.373721e-03
2.424242e-01,4.802435e-03,3.542666e-03,1.400335e-03
2.525252e-01,4.706397e-03,3.611352e-03,1.426382e-03
2.626263e-01,4.616130e-03,3.678583e-03,1.451896e-03
2.727273e-01,4.531069e-03,3.744449e-03,1.476910e-03
2.828283e-01,4.450722e-03,3.809032e-03,1.501452e-03
2.929293e-01,4.374664e-03,3.872404e-03,1.525550e-03
3.030303e-01,4.302519e-03,3.934632e-03,1.549225e-03
3.131313e-01,4.233958e-03,3.995776e-03,1.572501e-03
3.232323e-01,4.168689e-03,4.055892e-03,1.595397e-03
3.333333e-01,4.106452e-03,4.115031e-03,1.617932e-03
3.434343e-01,4.047016e-03,4.173239e-03,1.640122e-03
3.535354e-01,3.990175e-03,4.230560e-03,1.661983e-03
3.636364e-01,3.935741e-03,4.287033e-03,1.683529e-03
3.737374e-01,3.883547e-03,4.342696e-03,1.704774e-03
3.838384e-01,3.833441e-03,4.397582e-03,1.725730e-03
3.939394e-01,3.785286e-03,4.451724e-03,1.746409e-03
4.040404e-01,3.738956e-03,4.505151e-03,1.766822e-03
4.141414e-01,3.694337e-03,4.557892e-03,1.786978e-03
4.242424e-01,3.651326e-03,4.609972e-03,1.806888e-03
4.343434e-01,3.609826e-03,4.661416e-03,1.826561e-03
