x,skin_friction_coeff,displacement_thickness,momentum_thickness
0.000000e+00,2.856556e-02,3.067487e-04,0.000000e+00
1.449275e-02,2.062674e-02,5.063150e-04,1.652201e-04
2.898551e-02,1.492450e-02,7.121002e-04,2.897780e-04
4.347826e-02,1.099219e-02,9.107666e-04,3.861234e-04
5.797102e-02,8.405599e-03,1.092673e-03,4.627488e-04
7.246377e-02,6.766868e-03,1.253566e-03,5.256650e-04
8.695652e-02,5.735557e-03,1.394420e-03,5.791090e-04
1.014493e-01,5.063178e-03,1.518956e-03,6.259523e-04
1.159420e-01,4.595738e-03,1.631061e-03,6.680519e-04
1.304348e-01,4.248304e-03,1.733681e-03,7.065881e-04
1.449275e-01,3.975947e-03,1.828827e-03,7.423313e-04
1.594203e-01,3.754167e-03,1.917887e-03,7.758098e-04
1.739130e-01,3.568595e-03,2.001862e-03,8.074049e-04
1.884058e-01,3.410123e-03,2.081508e-03,8.374026e-04
2.028985e-01,3.272602e-03,2.157419e-03,8.660242e-04
2.173913e-01,3.151691e-03,2.230066e-03,8.934445e-04
2.318841e-01,3.044222e-03,2.299831e-03,9.198045e-04
2.463768e-01,2.947817e-03,2.367029e-03,9.452198e-04
2.608696e-01,2.860657e-03,2.431923e-03,9.697865e-04
2.753623e-01,2.781318e-03,2.494733e-03,9.935853e-04
2.898551e-01,2.708668e-03,2.555647e-03,1.016685e-03
3.043478e-01,2.641796e-03,2.614828e-03,1.039145e-03
3.188406e-01,2.579957e-03,2.672415e-03,1.061016e-03
3.333333e-01,2.522534e-03,2.728531e-03,1.082342e-03
3.478261e-01,2.469015e-03,2.783284e-03,1.103164e-03
3.623188e-01,2.418966e-03,2.836769e-03,1.123516e-03
3.768116e-01,2.372019e-03,2.889069e-03,1.143429e-03
3.913043e-01,2.327858e-03,2.940262e-03,1.162930e-03
4.057971e-01,2.286214e-03,2.990415e-03,1.182044e-03
4.202898e-01,2.246850e-03,3.039589e-03,1.200795e-03
4.347826e-01,2.209561e-03,3.087839e-03,1.219202e-03
4.492754e-01,2.174167e-03,3.135217e-03,1.237283e-03
4.637681e-01,2.140510e-03,3.181769e-03,1.255056e-03
4.782609e-01,2.108448e-03,3.227535e-03,1.272536e-03
4.927536e-01,2.077858e-03,3.272556e-03,1.289738e-03
5.072464e-01,2.048627e-03,3.316867e-03,1.306674e-03
5.217391e-01,2.020656e-03,3.360501e-03,1.323357e-03
5.362319e-01,1.993855e-03,3.403487e-03,1.339797e-03
5.507246e-01,1.968142e-03,3.445854e-03,1.356006e-03
5.652174e-01,1.943446e-03,3.487629e-03,1.371992e-03
5.797101e-01,1.919699e-03,3.528836e-03,1.387765e-03
5.942029e-01,1.896840e-03,3.569498e-03,1.403334e-03
6.086956e-01,1.874815e-03,3.609635e-03,1.418705e-03
6.231884e-01,1.853574e-03,3.649268e-03,1.433887e-03
6.376812e-01,1.833069e-03,3.688415e-03,1.448887e-03
6.521739e-01,1.813260e-03,3.727095e-03,1.463710e-03
6.666667e-01,1.794105e-03,3.765323e-03,1.478364e-03
6.811594e-01,1.775571e-03,3.803116e-03,1.492853e-03
6.956522e-01,1.757622e-03,3.840487e-03,1.507184e-03
7.101449e-01,1.740229e-03,3.877451e-03,1.521361e-03
7.246377e-01,1.723363e-03,3.914021e-03,1.535389e-03
7.391304e-01,1.706997e-03,3.950209e-03,1.549274e-03
7.536232e-01,1.691106e-03,3.986028e-03,1.563019e-03
7.681159e-01,1.675669e-03,4.021488e-03,1.576628e-03
7.826087e-01,1.660662e-03,4.056600e-03,1.590106e-03
7.971014e-01,1.646067e-03,4.091374e-03,1.603456e-03
8.115942e-01,1.631864e-03,4.125820e-03,1.616682e-03
8.260869e-01,1.618036e-03,4.159947e-03,1.629788e-03
8.405797e-01,1.604567e-03,4.193763e-03,1.642776e-03
8.550724e-01,1.591440e-03,4.227278e-03,1.655650e-03
8.695652e-01,1.578642e-03,4.260499e-03,1.668413e-03
8.840580e-01,1.566159e-03,4.293434e-03,1.681067e-03
8.985507e-01,1.553977e-03,4.326090e-03,1.693616e-03
9.130435e-01,1.542085e-03,4.358474e-03,1.706061e-03
9.275362e-01,1.530471e-03,4.390594e-03,1.718406e-03
9.420290e-01,1.519125e-03,4.422454e-03,1.730653e-03
9.565217e-01,1.508035e-03,4.454062e-03,1.742805e-03
9.710145e-01,1.497193e-03,4.485424e-03,1.754862e-03
9.855072e-01,1.486589e-03,4.516544e-03,1.766829e-03
1.000000e+00,1.476215e-03,4.547430e-03,1.778706e-03
